reference_sample_index,time_ms,category,mechanism,selected_leads,detecting_leads,detecting_lead_count,lead_amplitudes,record_id
316,1264.0,sub_threshold_amplitude,Low global QRS amplitude (62 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 14, ""II"": 62, ""III"": 30, ""aVR"": 56, ""aVL"": 18, ""aVF"": 42, ""V1"": 42, ""V2"": 24, ""V3"": 99, ""V4"": 81, ""V5"": 55, ""V6"": 25}",data/74
566,2264.0,sub_threshold_amplitude,Low global QRS amplitude (58 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 10, ""II"": 58, ""III"": 32, ""aVR"": 47, ""aVL"": 21, ""aVF"": 42, ""V1"": 35, ""V2"": 21, ""V3"": 102, ""V4"": 88, ""V5"": 54, ""V6"": 28}",data/74
815,3260.0,sub_threshold_amplitude,Low global QRS amplitude (57 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 10, ""II"": 57, ""III"": 32, ""aVR"": 44, ""aVL"": 23, ""aVF"": 42, ""V1"": 20, ""V2"": 14, ""V3"": 106, ""V4"": 85, ""V5"": 58, ""V6"": 35}",data/74
1066,4264.0,sub_threshold_amplitude,Low global QRS amplitude (60 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 8, ""II"": 60, ""III"": 33, ""aVR"": 46, ""aVL"": 24, ""aVF"": 44, ""V1"": 29, ""V2"": 8, ""V3"": 99, ""V4"": 78, ""V5"": 64, ""V6"": 40}",data/74
1318,5272.0,sub_threshold_amplitude,Low global QRS amplitude (54 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 12, ""II"": 54, ""III"": 35, ""aVR"": 35, ""aVL"": 26, ""aVF"": 42, ""V1"": 25, ""V2"": 15, ""V3"": 84, ""V4"": 74, ""V5"": 60, ""V6"": 39}",data/74
1568,6272.0,sub_threshold_amplitude,Low global QRS amplitude (45 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 19, ""II"": 45, ""III"": 35, ""aVR"": 19, ""aVL"": 29, ""aVF"": 40, ""V1"": 28, ""V2"": 14, ""V3"": 72, ""V4"": 80, ""V5"": 58, ""V6"": 42}",data/74
2067,8268.0,sub_threshold_amplitude,Low global QRS amplitude (45 LSB) below adaptive detection threshold,I+II+III,none,0,"{""I"": 25, ""II"": 45, ""III"": 39, ""aVR"": 29, ""aVL"": 34, ""aVF"": 42, ""V1"": 24, ""V2"": 16, ""V3"": 84, ""V4"": 81, ""V5"": 74, ""V6"": 59}",data/74
2317,9268.0,suboptimal_lead_selection,Selected leads (I+II+III) had low amp (40 LSB) vs unselected leads (81 LSB),I+II+III,none,0,"{""I"": 32, ""II"": 39, ""III"": 40, ""aVR"": 35, ""aVL"": 37, ""aVF"": 41, ""V1"": 18, ""V2"": 14, ""V3"": 78, ""V4"": 81, ""V5"": 69, ""V6"": 58}",data/74
